Pearson_Correlation,Spearman_Correlation,Mutual_Information,Other_Attribute,Combined_Score
0.990916760449017,0.999046831832838,0.9763444046147982,POSIX_STRIDE2_STRIDE,0.9887693322988844
0.9909167604490172,0.999046831832838,0.911591323340934,POSIX_STRIDE2_STRIDE,0.967184971874263
0.99105120410569,0.9994638429059712,0.8847583425948757,POSIX_STRIDE1_STRIDE,0.9584244632021791
0.99105120410569,0.9994638429059712,0.8801878571423294,POSIX_STRIDE1_STRIDE,0.9569009680513302
0.9461494876174538,0.8514398051962557,1.0065579294042966,POSIX_SIZE_READ_100K_1M,0.9347157407393354
0.979241103303409,0.8013389034098102,0.974114116203078,POSIX_STRIDE3_STRIDE,0.9182313743054324
0.9878158516185616,0.8268212586287782,0.9232857119190104,POSIX_STRIDE4_STRIDE,0.9126409407221168
0.9878158516185616,0.8268212586287782,0.9110191276577586,POSIX_STRIDE4_STRIDE,0.9085520793016993
0.946149487617454,0.8514398051962557,0.9127851551713362,POSIX_SIZE_READ_100K_1M,0.9034581493283486
0.9792411033034092,0.8013389034098102,0.9161433879421436,POSIX_STRIDE3_STRIDE,0.8989077982184543
0.8916958464763928,0.8514249119436438,0.9468907485741184,POSIX_STRIDE2_COUNT,0.8966705023313849
0.8789667355203576,0.8514249119436438,0.9340541578203704,POSIX_STRIDE3_COUNT,0.8881486017614573
0.8916958464763928,0.8514249119436438,0.8963490380756269,POSIX_STRIDE2_COUNT,0.8798232654985544
0.8789667355203575,0.8514249119436438,0.8915898912107125,POSIX_STRIDE3_COUNT,0.8739938462249045
-0.8466731398815961,-0.8985484498909172,0.8573001646970453,POSIX_ACCESS1_COUNT,0.8675072514898529
0.8704019587651385,0.818503311633988,0.9125189854066578,POSIX_BYTES_READ,0.8671414186019281
-0.8973270882197787,-0.760401240752535,0.89823366136189,POSIX_SIZE_WRITE_100_1K,0.8519873301114013
-0.8485122355706641,-0.7703582389093393,0.9306020627566411,POSIX_SIZE_READ_0_100,0.8498241790788815
-0.8392747268230403,-0.7099426316226933,0.986784610524046,POSIX_CONSEC_WRITES,0.8453339896565932
-0.848512235570664,-0.7703582389093393,0.911346496791241,POSIX_SIZE_READ_0_100,0.8434056570904147
0.8704019587651385,0.8185033116339879,0.8344163187321998,POSIX_BYTES_READ,0.8411071963771087
0.7411478981122068,0.8514249119436438,0.92578325793236,POSIX_STRIDE4_COUNT,0.8394520226627368
-0.8466731398815961,-0.8985484498909171,0.7699314168941813,POSIX_ACCESS1_COUNT,0.8383843355555648
-0.8973270882197787,-0.760401240752535,0.8468435371112215,POSIX_SIZE_WRITE_100_1K,0.8348572886945117
-0.8348030310932091,-0.8298042826240379,0.8390432734949482,POSIX_FILE_NOT_ALIGNED,0.8345501957373984
-0.8363515449110722,-0.6876427895759315,0.9616163651597364,POSIX_SEQ_WRITES,0.8285368998822467
-0.7928297870949872,-0.839787793569003,0.834564029687948,POSIX_ACCESS2_COUNT,0.8223938701173127
0.8750431027948267,0.8672433379032779,0.724234322432827,tag,0.8221735877103106
0.8750431027948267,0.867243337903278,0.7242343224328267,tag,0.8221735877103105
-0.8348030310932091,-0.8298042826240379,0.784696373282447,POSIX_FILE_NOT_ALIGNED,0.8164345623332313
0.7411478981122067,0.8514249119436438,0.850432927696319,POSIX_STRIDE4_COUNT,0.8143352459173898
-0.7928297870949872,-0.839787793569003,0.8011726460078961,POSIX_ACCESS2_COUNT,0.8112634088906288
-0.8345020401049312,-0.682698039049465,0.9152537088851144,POSIX_MEM_NOT_ALIGNED,0.8108179293465035
-0.8601316189049025,-0.7325140743097682,0.8343501986441846,POSIX_SIZE_WRITE_0_100,0.8089986306196183
-0.7965561390219346,-0.6782207681336805,0.9491495705747082,POSIX_SIZE_READ_1K_10K,0.8079754925767744
-0.8392747268230403,-0.7099426316226933,0.8574057406154898,POSIX_CONSEC_WRITES,0.8022076996870745
-0.8601316189049025,-0.7325140743097682,0.809213038703668,POSIX_SIZE_WRITE_0_100,0.8006195773061129
-0.830691512197456,-0.6975184515800369,0.8734821994119499,POSIX_ACCESS3_COUNT,0.800564054396481
-0.8201762967311749,-0.6820535342936982,0.8980223024813132,POSIX_WRITES,0.8000840445020622
-0.8306915121974559,-0.6975184515800368,0.8688835480831756,POSIX_ACCESS3_COUNT,0.7990311706202228
-0.7009799201301636,-0.8232307979865953,0.8547081518895414,POSIX_CONSEC_READS,0.7929729566687668
-0.8363515449110721,-0.6876427895759315,0.8417306628934198,POSIX_SEQ_WRITES,0.7885749991268077
-0.8201762967311749,-0.6820535342936982,0.8583302929175574,POSIX_WRITES,0.7868533746474768
-0.7009799201301636,-0.8232307979865953,0.8335119882017021,POSIX_CONSEC_READS,0.7859075687728204
-0.7965561390219346,-0.6782207681336806,0.8380412069871581,POSIX_SIZE_READ_1K_10K,0.7709393713809245
-0.8005801058153685,-0.6817577369908107,0.809652229953838,POSIX_ACCESS4_COUNT,0.7639966909200058
0.7816889038047179,0.5834635327691834,0.9237775808824532,POSIX_ACCESS2_ACCESS,0.7629766724854514
-0.8345020401049311,-0.682698039049465,0.7691865828370115,POSIX_MEM_NOT_ALIGNED,0.7621288873304692
-0.7316206090511133,-0.682761253410554,0.8652132903563925,POSIX_OPENS,0.7598650509393533
-0.8005801058153685,-0.6817577369908105,0.7923845536263943,POSIX_ACCESS4_COUNT,0.7582407988108578
-0.6607326518655323,-0.6804169089977121,0.9128651217746696,POSIX_READS,0.7513382275459713
-0.7316206090511134,-0.682761253410554,0.8317140749721332,POSIX_OPENS,0.7486986458112669
