Pearson_Correlation,Spearman_Correlation,Mutual_Information,Other_Attribute,Combined_Score
-0.9652564755526912,-0.9351824501974372,0.8070920818381504,nprocs,0.9025103358627596
0.9607770586690888,0.9304713208417456,0.798877152179923,POSIX_ACCESS2_ACCESS,0.8967085105635858
-0.9737335146596088,-0.9259576808490596,0.7889062555846187,POSIX_BYTES_WRITTEN,0.896199150364429
-0.958378854567398,-0.926024376823565,0.7709741315446736,POSIX_SIZE_WRITE_0_100,0.8851257876452122
0.9607770586690892,0.9304713208417458,0.7529461732954195,POSIX_ACCESS2_ACCESS,0.8813981842687516
-0.9701440461336214,-0.9260243768235652,0.7471613031490911,POSIX_WRITES,0.8811099087020926
-0.9599213252202524,-0.9274825785395472,0.7533951364773035,POSIX_MEM_NOT_ALIGNED,0.8802663467457009
-0.958378854567398,-0.9260243768235652,0.744435513593628,POSIX_SIZE_WRITE_0_100,0.8762795816615304
-0.8895458327970392,-0.9275272609601414,0.8043800573526112,POSIX_SIZE_READ_1K_10K,0.8738177170365974
-0.9627130720128596,-0.9260243768235652,0.725002259035433,POSIX_CONSEC_WRITES,0.8712465692906193
-0.9627130720128598,-0.926024376823565,0.7220263295670679,POSIX_CONSEC_WRITES,0.8702545928011642
-0.8741227027576655,-0.9262245512533304,0.8083588447664485,POSIX_ACCESS4_COUNT,0.8695686995924814
-0.962799807960068,-0.926024376823565,0.7136995330522358,POSIX_SEQ_WRITES,0.8675079059452896
-0.956981332540119,-0.9274857699268668,0.7096698103277799,POSIX_SIZE_READ_0_100,0.864712304264922
-0.9652564755526912,-0.9351824501974372,0.6817642627105878,nprocs,0.8607343961535721
-0.9737335146596088,-0.9259576808490598,0.6785317689240515,POSIX_BYTES_WRITTEN,0.8594076548109068
0.9803983152656608,0.9285599448194488,0.6665707740896916,POSIX_ACCESS1_ACCESS,0.8585096780582671
-0.956981332540119,-0.9274857699268668,0.6906425856053837,POSIX_SIZE_READ_0_100,0.8583698960241232
-0.9599213252202524,-0.9274825785395472,0.687091863217502,POSIX_MEM_NOT_ALIGNED,0.8581652556591006
0.9803983152656608,0.9285599448194488,0.6527435333790765,POSIX_ACCESS1_ACCESS,0.8539005978213954
0.8635977204104421,0.9647944279710632,0.733183878929264,POSIX_STRIDE3_STRIDE,0.8538586757702564
-0.9701440461336214,-0.926024376823565,0.6556058182412876,POSIX_WRITES,0.8505914137328247
