Pearson_Correlation,Spearman_Correlation,Mutual_Information,Other_Attribute,Combined_Score
0.8930457112003667,0.6760261261267194,0.9775245854174884,POSIX_BYTES_READ,0.8488654742481915
0.8930457112003667,0.6760261261267194,0.971334109227012,POSIX_BYTES_READ,0.8468019821846994
0.8325703330174665,0.8668823680932255,0.8317401626097598,POSIX_STRIDE1_STRIDE,0.843730954573484
0.8325703330174665,0.8668823680932255,0.8317401626097597,POSIX_STRIDE1_STRIDE,0.843730954573484
0.8250851201229717,0.8664144442653797,0.8112061881009041,POSIX_STRIDE2_STRIDE,0.8342352508297518
0.8250851201229717,0.8664144442653797,0.811206188100904,POSIX_STRIDE2_STRIDE,0.8342352508297518
0.930240378096747,0.7292191779409937,0.8403190448497933,POSIX_STRIDE3_COUNT,0.833259533629178
0.930240378096747,0.7292191779409936,0.8358190448497937,POSIX_STRIDE3_COUNT,0.8317595336291781
0.9348653917332004,0.7292191779409937,0.8275076733402531,POSIX_STRIDE2_COUNT,0.8305307476714824
0.9348653917332004,0.7292191779409936,0.8275076733402529,POSIX_STRIDE2_COUNT,0.8305307476714822
0.8750431027948267,0.8672433379032779,0.724234322432827,POSIX_STRIDE1_COUNT,0.8221735877103106
0.8750431027948267,0.867243337903278,0.7242343224328267,POSIX_STRIDE1_COUNT,0.8221735877103105
0.7204143151323612,0.8380855814724911,0.8840398277408137,POSIX_ACCESS4_ACCESS,0.814179908115222
0.7204143151323613,0.8380855814724911,0.8783529590539447,POSIX_ACCESS4_ACCESS,0.8122842852195991
-0.6108817880673104,-0.7500644623439249,1.0640904746230324,POSIX_ACCESS1_COUNT,0.8083455750114226
-0.6108817880673104,-0.7500644623439248,1.0615806707014643,POSIX_ACCESS1_COUNT,0.8075089737042331
0.8384432175585648,0.7292058086887694,0.8534725287291056,POSIX_SIZE_READ_100K_1M,0.80704051832548
0.8384432175585647,0.7292058086887694,0.8534725287291058,POSIX_SIZE_READ_100K_1M,0.80704051832548
-0.5962727380286235,-0.7088729612119559,1.0892995092284703,POSIX_SIZE_READ_0_100,0.7981484028230165
-0.5962727380286235,-0.7088729612119559,1.088899509228471,POSIX_SIZE_READ_0_100,0.7980150694896834
0.8520071783645496,0.7292191779409937,0.7964540413681713,POSIX_STRIDE4_COUNT,0.7925601325579049
0.8520071783645496,0.7292191779409936,0.7964540413681711,POSIX_STRIDE4_COUNT,0.7925601325579047
-0.6750478905389629,-0.6296711374290316,1.0665199699629129,POSIX_SIZE_WRITE_100_1K,0.7904129993103025
-0.6750478905389629,-0.6296711374290315,1.0665199699629129,POSIX_SIZE_WRITE_100_1K,0.7904129993103024
-0.586737477876056,-0.6551191131179644,1.0891760844808178,POSIX_SIZE_WRITE_0_100,0.7770108918249461
-0.5867374778760559,-0.6551191131179644,1.089176084480818,POSIX_SIZE_WRITE_0_100,0.7770108918249461
-0.5625502729091302,-0.7508767361367127,0.9742208971723852,POSIX_ACCESS2_COUNT,0.7625493020727427
-0.5625502729091302,-0.7508767361367128,0.9742208971723852,POSIX_ACCESS2_COUNT,0.7625493020727427
0.8021824197565784,0.7056759247742384,0.7746891688253967,POSIX_STRIDE4_STRIDE,0.7608491711187378
0.8021824197565784,0.7056759247742382,0.7734391688253965,POSIX_STRIDE4_STRIDE,0.760432504452071
-0.5612066912546904,-0.6294344194830835,1.0677282948314772,POSIX_ACCESS3_COUNT,0.7527898018564171
-0.5612066912546904,-0.6294344194830835,1.060561628164811,POSIX_ACCESS3_COUNT,0.7504009129675282
-0.5387366192317571,-0.6269697614409431,1.0611358712022367,POSIX_MEM_NOT_ALIGNED,0.742280750624979
-0.5581291103691267,-0.6150447403469026,1.052291090151683,POSIX_CONSEC_WRITES,0.7418216469559041
-0.5581291103691268,-0.6150447403469026,1.0522910901516829,POSIX_CONSEC_WRITES,0.7418216469559041
-0.5387366192317571,-0.6269697614409431,1.0551779531512953,POSIX_MEM_NOT_ALIGNED,0.7402947779413318
0.5827259624253515,0.5779958034015135,1.0522941584433771,POSIX_ACCESS2_ACCESS,0.7376719747567474
-0.5168019519778564,-0.6160183701967132,1.0790708627572172,POSIX_ACCESS4_COUNT,0.7372970616439289
-0.5168019519778564,-0.6160183701967131,1.0769478468842006,POSIX_ACCESS4_COUNT,0.7365893896862566
0.5827259624253515,0.5779958034015134,1.044565470464689,POSIX_ACCESS2_ACCESS,0.7350957454305179
0.7759780500719456,0.6829214574887087,0.7462062978673867,POSIX_STRIDE3_STRIDE,0.7350352684760137
0.7759780500719456,0.6829214574887086,0.7438451867562756,POSIX_STRIDE3_STRIDE,0.7342482314389766
-0.5463694035669691,-0.7228336392508151,0.933097361469279,POSIX_FILE_NOT_ALIGNED,0.7341001347623544
