Pearson_Correlation,Spearman_Correlation,Mutual_Information,Other_Attribute,Combined_Score
-0.937838892940526,-0.9556977356798037,1.0097857562436068,POSIX_SIZE_WRITE_100_1K,0.9677741282879788
0.9971712957443428,0.974517644781032,0.9112953634794204,POSIX_STRIDE4_STRIDE,0.9609947680015983
-0.916035369101938,-0.9613227817219024,0.963428340914818,POSIX_SIZE_READ_0_100,0.9469288305795528
0.9971712957443428,0.974517644781032,0.8491919919527389,POSIX_STRIDE4_STRIDE,0.9402936441593712
0.9343992083604348,0.9498990982135544,0.9243465101049444,POSIX_SIZE_READ_100K_1M,0.9362149388929778
-0.9160353691019382,-0.9613227817219024,0.9198496709711788,POSIX_SIZE_READ_0_100,0.9324026072650065
-0.937838892940526,-0.9556977356798038,0.8886202304124677,POSIX_SIZE_WRITE_100_1K,0.9273856196775991
-0.891553046771063,-0.9361303640970738,0.9516600468400064,POSIX_SIZE_READ_1K_10K,0.9264478192360478
0.9343992083604348,0.9498990982135544,0.8929775567841864,POSIX_SIZE_READ_100K_1M,0.9257586211193919
0.9901899357371404,0.802292071576972,0.9791543452210414,POSIX_STRIDE2_STRIDE,0.9238787841783846
0.979241103303409,0.8013389034098102,0.974114116203078,POSIX_STRIDE1_COUNT,0.9182313743054324
-0.8322778882275301,-0.936821609290876,0.9834769492884434,POSIX_STATS,0.9175254822689499
-0.9351828765521392,-0.9492656800501844,0.8548698514579209,POSIX_SIZE_WRITE_0_100,0.9131061360200815
-0.9019749409133055,-0.9401441321417316,0.8946112718964079,POSIX_ACCESS3_COUNT,0.9122434483171483
0.814700450495601,0.9499139914661664,0.968136444924994,POSIX_STRIDE2_COUNT,0.9109169622955872
-0.9186038100947018,-0.9432475816516672,0.868933003789812,POSIX_CONSEC_WRITES,0.910261465178727
-0.9188503524345868,-0.9373022360655532,0.8549160335875907,POSIX_MEM_NOT_ALIGNED,0.9036895406959102
0.9901899357371404,0.802292071576972,0.913057659673898,POSIX_STRIDE2_STRIDE,0.9018465556626701
-0.9351828765521392,-0.9492656800501844,0.8188976122801059,POSIX_SIZE_WRITE_0_100,0.9011153896274765
0.9792411033034092,0.8013389034098102,0.9161433879421436,POSIX_STRIDE1_COUNT,0.8989077982184543
-0.9036676087339068,-0.9353997526236724,0.8558967540369637,POSIX_WRITES,0.898321371798181
-0.9167546495829314,-0.936957882612837,0.8381932432714967,POSIX_SEQ_WRITES,0.8973019251557549
0.9870095792262984,0.8018750605038388,0.9024428491023238,POSIX_STRIDE1_STRIDE,0.8971091629441537
