,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag
nprocs,1.0,0.13637881499246593,0.047430092129629925,0.07413740102124548,0.0011863765179157511,0.0,0.1648015540026258,0.20767999092913736,0.1099569619465296,0.17515601609846443,0.18594973333821416,0.0747439013633907,0.09150522058760514,0.19682136579582526,0.10967934896768432,0.19699129328899517,0.11006427759475626,0.06340831363750155,0.20508675869939524,0.1465090045308573,0.20041417063848943,0.2360417361509959,0.20509982370215593,0.1300410664570928,0.11371543504252243,0.06875579314556593,0.1643812721174886,0.05979147892262098,0.05672555234411569,0.08671004612764202,0.09521134295666445,0.11680612902209016,0.11236922253475241,0.05409534082571693,0.04737676308623836,0.05539105591727246,0.044691228930615695,0.09544345640733079,0.06906367099685462,0.056431594955292166,0.06453374708226285,0.08570562354163101,0.14076161087047354,0.14681967338218485,0.13368872566501594,0.053789543861358924
POSIX_OPENS,0.13637881499246593,1.0,0.1383276411823168,0.17369875427186024,0.008694541504768998,0.0,0.11149471013788788,0.2633658971264536,0.16507900762705138,0.2142593316332513,0.28131084692901687,0.15141131880557368,0.1328612319351138,0.2789189024629618,0.17919764150744735,0.25993992765230695,0.1681207461565832,0.0542248840592617,0.24472493860049782,0.21923392050670976,0.19986484675802746,0.1823462220242995,0.23569376674359432,0.08263668104663231,0.16661323646775084,0.1748633559220038,0.09493388128844737,0.039925838628504455,0.04417082234156622,0.06731541710197364,0.07371567573762484,0.09463166374693233,0.07059733330817801,0.03286868517661896,0.036934474832785766,0.03872080039701129,0.030469267350864474,0.06973687172064826,0.08561904762131956,0.10860508060034153,0.08819922706728259,0.13414109148100956,0.1649901139320267,0.18344615533624908,0.20042305777039407,0.040885992631070914
LUSTRE_STRIPE_SIZE,0.04743009212962992,0.1383276411823168,1.0,0.6121389807391918,0.0001243467137014331,0.0,0.028017976160958635,0.1731218385128656,0.17012671000285104,0.10197841368805699,0.2100267009803644,0.0800281654690104,0.12511296459510254,0.21500558807353384,0.20463745532514735,0.17197159035079482,0.16832115372730846,0.02443354584248432,0.1711198580126376,0.21326791225049355,0.15922757909172616,0.09244312158260447,0.20975547340617381,0.025411349923978505,0.20640025455618094,0.14236438432929308,0.03061932613441502,0.02295839437857061,0.02738909845885805,0.07910249211732656,0.09029807441779567,0.09676516056749954,0.03399112611250992,0.0074224191064099195,0.020669394274665777,0.025515130436299403,0.018059200092101324,0.11182928590502617,0.16938171498749555,0.18771052237671618,0.11269245472721155,0.12811270836613936,0.16148053751093683,0.19209716631710574,0.18178906876915613,0.025185749312048804
LUSTRE_STRIPE_WIDTH,0.07413740102124551,0.17369875427186018,0.612138980739192,1.0,0.0017121571061094808,0.0,0.03482268090292747,0.20001894241599746,0.2050451155265915,0.12424439007547336,0.2716662364865447,0.1078933738901723,0.1647724248612498,0.26885056620881775,0.25547053935833763,0.19733876832102754,0.20248119574277568,0.0426603794934004,0.20952747804254301,0.2757524288168693,0.20270641482053856,0.11982288672397494,0.2611627183301056,0.026330840924926335,0.2542871975072436,0.17654902322714014,0.04308580035340108,0.03024913849783119,0.030335623858758,0.09861504862137292,0.105672935968214,0.122541642392558,0.0633057924350912,0.021433960310302168,0.0412831913438357,0.04921938618546275,0.03613974845396986,0.13357299154133914,0.1764277436953003,0.2227749384815479,0.14285302354398857,0.14465755544028538,0.19781324415794707,0.2404167557800687,0.2263452580842011,0.03572277801836186
POSIX_FILENOS,0.0011863765179157511,0.008694541504768998,0.0001243467137014331,0.0017121571061094808,1.0,0.0,0.00018836130905619576,0.0034691658613964713,0.003938003418783571,0.0017062373357420188,0.0035352755329898476,0.0031246023667876282,0.0016050973502514615,0.003353255869759548,0.0037630643843870864,0.0034825099187401117,0.003945607351576055,0.0007811566275415413,0.0032598186388203224,0.004620104290510012,0.0022808354660376314,0.0009303764562823164,0.0032802814970623395,0.0012739410517100696,0.003812630867860392,0.0016620620281811828,0.0013091975307220084,0.0008217870854332515,0.0009478573150427851,0.0007842497030070061,0.0007312923891936458,0.0008942913398229315,0.0008615204072176711,0.0009371120054881318,0.001501563713294179,0.00123916569560276,0.001512611786500183,0.0007462861646458104,0.000653991606059443,0.0005732178763773247,0.000702678626488256,0.004845008241787876,0.004608728970348009,0.004656315915444824,0.004890225987062531,0.0010086169813277909
POSIX_MEM_ALIGNMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSIX_FILE_ALIGNMENT,0.16480155400262578,0.1114947101378879,0.028017976160958635,0.03482268090292746,0.00018836130905619576,0.0,1.0,0.13468631932233446,0.1787503284894295,0.1059437557412313,0.13616944171939438,0.09875643412679275,0.10908385085710416,0.1294723622361243,0.17890290053814542,0.1337379539240504,0.1787176893141556,0.028640779382138028,0.18982467422047145,0.1431427405786922,0.16855372253571296,0.17761158497592033,0.1260260853835898,0.22268753706408254,0.16263548117874294,0.11560712500019471,0.28344441237083695,0.02867681883125624,0.030238636628934026,0.14146089373375387,0.17551937997628983,0.2191210139029961,0.23799203405938985,0.05412532398305034,0.09326880474550348,0.10831228629285251,0.06850517898678614,0.12147649275540519,0.0890103662942637,0.09342579497046608,0.1260911194881117,0.053171037109104695,0.1525050356677626,0.156502323356836,0.1423737185038191,0.09334408637918945
POSIX_READS,0.2076799909291374,0.26336589712645353,0.17312183851286564,0.20001894241599755,0.0034691658613964717,0.0,0.1346863193223344,1.0,0.19979456173540008,0.39107146265845655,0.4124028170026077,0.2557397801435506,0.13421152592189955,0.7266793896392629,0.21698804031508248,0.8491569235944378,0.20162642178970763,0.11625997953651676,0.40791769570472075,0.4676038246676853,0.45393013643669666,0.30153271179979496,0.5019787712664115,0.17644452475531583,0.24132043037100875,0.1599217982691336,0.14906750675143832,0.056592172183916066,0.05604332139539081,0.13239260285166818,0.14790186540078287,0.16299394589218744,0.14085972182805206,0.08742840457518916,0.1009888236935835,0.10263161626841141,0.0888468096656834,0.14360306302874465,0.11477096006692047,0.12073390988561779,0.10881377134802446,0.2432236840827248,0.2859327255223765,0.3099137924510887,0.32282482870559526,0.07335998496736658
POSIX_WRITES,0.1099569619465296,0.16507900762705138,0.17012671000285107,0.20504511552659144,0.003938003418783571,0.0,0.17875032848942954,0.19979456173540003,1.0,0.2089064076027679,0.2289870713064942,0.1075863584071244,0.3428536764530591,0.21670391049904433,0.896456751005149,0.20147097543470432,0.9680834902105844,0.07559738851356106,0.24344011150258793,0.44644288274957405,0.20732120951257446,0.18781565603226796,0.20799855155876484,0.12168676470268959,0.7237753951616794,0.3520554901411068,0.1689736040019111,0.06599693455426413,0.06463165993018043,0.11056855304509342,0.13400401186636152,0.15452396192387371,0.12238984589252941,0.05601595339094827,0.06306015846599557,0.07127053173012156,0.05035708598874521,0.13679559405056466,0.13344917010827603,0.14828641795590522,0.15913075005779484,0.2634162656859083,0.33081861724017697,0.3445462803530285,0.33251554268127975,0.09684968818703059
POSIX_SEEKS,0.17515601609846443,0.21425933163325134,0.10197841368805696,0.12424439007547339,0.0017062373357420188,0.0,0.10594375574123127,0.39107146265845666,0.20890640760276794,1.0,0.3915861475832405,0.17862957350073982,0.15005089934494575,0.3259455280319236,0.2006575761974739,0.34913873756769565,0.21108992044825395,0.14633246229132763,0.25162129286146956,0.3308796847556169,0.3780982643290169,0.3035984207853775,0.26375335084508833,0.173572026197509,0.23492023148035543,0.15484793983286557,0.13270875665716403,0.08916608076824582,0.0888898399907602,0.17024192941301178,0.1514294545573107,0.14978167764753117,0.12720707946529175,0.1357058291387592,0.09635814474809704,0.0912402238619023,0.08798140759853712,0.12412817714937634,0.07877719494033611,0.06033135847847407,0.09019129067220436,0.21306422221059967,0.24341110813655362,0.2604496552084745,0.2563925543878453,0.1117202681000758
